State;Crop;District;Year;Year Min;Season;Area (Hectares);Production (Tonnes);Yield (Tonnes/Hectare);Sale price (USD/Tonnes);Sale price (USD/Tonnes)
Madhya Pradesh;Arhar/Tur;DINDORI; 2006-07;2006;Kharif     ;3117;1705;0,547000321;774,66121;774,66121
Madhya Pradesh;Arhar/Tur;DINDORI; 2007-08;2007;Kharif     ;4457;2172;0,487323312;774,66121;774,66121
Madhya Pradesh;Arhar/Tur;DINDORI; 2008-09;2008;Kharif     ;3811;2405;0,631067961;774,66121;774,66121
Madhya Pradesh;Arhar/Tur;DINDORI; 2009-10;2009;Whole Year ;3742;2317;0,6191876;774,66121;774,66121
Madhya Pradesh;Arhar/Tur;DINDORI; 2010-11;2010;Kharif     ;7274;1312;0,180368436;774,66121;774,66121
Madhya Pradesh;Arhar/Tur;DINDORI; 2011-12;2011;Kharif     ;6135;2082;0,339364303;774,66121;774,66121
Madhya Pradesh;Arhar/Tur;DINDORI; 2012-13;2012;Kharif     ;5842;2119;0,362718247;774,66121;774,66121
Madhya Pradesh;Arhar/Tur;DINDORI; 2013-14;2013;Kharif     ;5567;1732;0,311119095;774,66121;774,66121
Madhya Pradesh;Arhar/Tur;DINDORI; 2014-15;2014;Kharif     ;10000;13000;1,3;774,66121;774,66121
Madhya Pradesh;Arhar/Tur;DINDORI; 2015-16;2015;Kharif     ;8000;2000;0,25;774,66121;774,66121
Madhya Pradesh;Arhar/Tur;DINDORI; 2016-17;2016;Kharif     ;5000;5000;1;774,66121;774,66121
Madhya Pradesh;Arhar/Tur;DINDORI; 2017-18;2017;Kharif     ;11400;9690;0,85;774,66121;774,66121
Madhya Pradesh;Arhar/Tur;DINDORI; 2018-19;2018;Kharif     ;1953;586;0,300051203;774,66121;774,66121
Madhya Pradesh;Arhar/Tur;DINDORI; 2019-20;2019;Kharif     ;3321;1295;0,389942788;774,66121;774,66121
Madhya Pradesh;Arhar/Tur;DURG; 1997-98;1997;Kharif     ;5800;1400;0,24137931;774,66121;774,66121
Madhya Pradesh;Arhar/Tur;DURG; 1998-99;1998;Kharif     ;5400;5200;0,962962963;774,66121;774,66121
Madhya Pradesh;Arhar/Tur;DURG; 1999-00;1999;Kharif     ;5080;5324;1,048031496;774,66121;774,66121
Madhya Pradesh;Arhar/Tur;GUNA; 1997-98;1997;Kharif     ;1300;800;0,615384615;774,66121;774,66121
Madhya Pradesh;Arhar/Tur;GUNA; 1998-99;1998;Kharif     ;900;600;0,666666667;774,66121;774,66121
Madhya Pradesh;Arhar/Tur;GUNA; 1999-00;1999;Kharif     ;2622;1812;0,691075515;774,66121;774,66121
Madhya Pradesh;Arhar/Tur;GUNA; 2000-01;2000;Kharif     ;682;475;0,696480938;774,66121;774,66121
Madhya Pradesh;Arhar/Tur;GUNA; 2001-02;2001;Kharif     ;1169;888;0,75962361;774,66121;774,66121
Madhya Pradesh;Arhar/Tur;GUNA; 2002-03;2002;Kharif     ;553;134;0,242314647;774,66121;774,66121
Madhya Pradesh;Arhar/Tur;GUNA; 2003-04;2003;Kharif     ;450;262;0,582222222;774,66121;774,66121
Madhya Pradesh;Arhar/Tur;GUNA; 2004-05;2004;Kharif     ;472;280;0,593220339;774,66121;774,66121
Madhya Pradesh;Arhar/Tur;GUNA; 2005-06;2005;Kharif     ;639;362;0,566510172;774,66121;774,66121
Madhya Pradesh;Arhar/Tur;GUNA; 2006-07;2006;Kharif     ;966;554;0,573498965;774,66121;774,66121
Madhya Pradesh;Arhar/Tur;GUNA; 2007-08;2007;Kharif     ;635;347;0,546456693;774,66121;774,66121
Madhya Pradesh;Arhar/Tur;GUNA; 2008-09;2008;Kharif     ;696;429;0,61637931;774,66121;774,66121
Madhya Pradesh;Arhar/Tur;GUNA; 2009-10;2009;Whole Year ;717;451;0,629009763;774,66121;774,66121
Madhya Pradesh;Arhar/Tur;GUNA; 2010-11;2010;Kharif     ;2723;963;0,353654058;774,66121;774,66121
Madhya Pradesh;Arhar/Tur;GUNA; 2011-12;2011;Kharif     ;1044;580;0,555555556;774,66121;774,66121
Madhya Pradesh;Arhar/Tur;GUNA; 2012-13;2012;Kharif     ;855;418;0,488888889;774,66121;774,66121
Madhya Pradesh;Arhar/Tur;GUNA; 2013-14;2013;Kharif     ;993;628;0,632426989;774,66121;774,66121
Madhya Pradesh;Arhar/Tur;GUNA; 2014-15;2014;Kharif     ;6000;5000;0,833333333;774,66121;774,66121
Madhya Pradesh;Arhar/Tur;GUNA; 2015-16;2015;Kharif     ;1000;1000;1;774,66121;774,66121
Madhya Pradesh;Arhar/Tur;GUNA; 2018-19;2018;Kharif     ;195;118;0,605128205;774,66121;774,66121
Madhya Pradesh;Arhar/Tur;GUNA; 2019-20;2019;Kharif     ;25;19;0,76;774,66121;774,66121
Madhya Pradesh;Arhar/Tur;GWALIOR; 1997-98;1997;Kharif     ;4600;3300;0,717391304;774,66121;774,66121
Madhya Pradesh;Arhar/Tur;GWALIOR; 1998-99;1998;Kharif     ;1900;1600;0,842105263;774,66121;774,66121
Madhya Pradesh;Arhar/Tur;GWALIOR; 1999-00;1999;Kharif     ;1346;1211;0,899702823;774,66121;774,66121
Madhya Pradesh;Arhar/Tur;GWALIOR; 2000-01;2000;Kharif     ;1612;1134;0,703473945;774,66121;774,66121
Madhya Pradesh;Arhar/Tur;GWALIOR; 2001-02;2001;Kharif     ;1761;1666;0,946053379;774,66121;774,66121
